state,zcta5,placefp,stab,placenm,zipname,pop10,afact
State code,ZIP census tabulation area,Place code,State abbreviation,Place name,ZCTA name,Total population (2010),zcta5 to placefp allocation factor
1,35020,7000,AL,"Birmingham city, AL","Bessemer, AL",33,1
1,35022,7000,AL,"Birmingham city, AL","Bessemer, AL",274,0.315
1,35022,35896,AL,"Hoover city, AL","Bessemer, AL",597,0.685
1,35023,7000,AL,"Birmingham city, AL","Hueytown, AL",134,1
1,35061,7000,AL,"Birmingham city, AL","Birmingham, AL",1330,1
1,35064,7000,AL,"Birmingham city, AL","Fairfield, AL",213,1
1,35068,7000,AL,"Birmingham city, AL","Fultondale, AL",138,1
1,35080,35896,AL,"Hoover city, AL","Helena, AL",619,1
1,35094,7000,AL,"Birmingham city, AL","Leeds, AL",113,1
1,35118,7000,AL,"Birmingham city, AL","Sylvan Springs, AL",34,1
1,35124,35896,AL,"Hoover city, AL","Pelham, AL",684,1
1,35130,7000,AL,"Birmingham city, AL","Quinton, AL",23,1
1,35173,7000,AL,"Birmingham city, AL","Trussville, AL",20,1
1,35203,7000,AL,"Birmingham city, AL","Birmingham, AL",3798,1
1,35204,7000,AL,"Birmingham city, AL","Birmingham, AL",10337,1
1,35205,7000,AL,"Birmingham city, AL","Birmingham, AL",19686,1
1,35206,7000,AL,"Birmingham city, AL","Birmingham, AL",17177,1
1,35207,7000,AL,"Birmingham city, AL","Birmingham, AL",7696,1
1,35208,7000,AL,"Birmingham city, AL","Birmingham, AL",14855,1
1,35209,7000,AL,"Birmingham city, AL","Homewood, AL",7596,1
1,35210,7000,AL,"Birmingham city, AL","Irondale, AL",4179,1
1,35211,7000,AL,"Birmingham city, AL","Birmingham, AL",26236,1
1,35212,7000,AL,"Birmingham city, AL","Birmingham, AL",11539,1
1,35213,7000,AL,"Birmingham city, AL","Mountain Brook, AL",3231,1
1,35214,7000,AL,"Birmingham city, AL","Forestdale, AL",8722,1
1,35215,7000,AL,"Birmingham city, AL","Birmingham, AL",20407,1
1,35216,35896,AL,"Hoover city, AL","Vestavia Hills, AL",15069,1
1,35217,7000,AL,"Birmingham city, AL","Tarrant, AL",4826,1
1,35218,7000,AL,"Birmingham city, AL","Birmingham, AL",7353,1
1,35221,7000,AL,"Birmingham city, AL","Birmingham, AL",4750,1
1,35222,7000,AL,"Birmingham city, AL","Birmingham, AL",7884,1
1,35223,7000,AL,"Birmingham city, AL","Mountain Brook, AL",529,1
1,35224,7000,AL,"Birmingham city, AL","Birmingham, AL",3191,1
1,35226,7000,AL,"Birmingham city, AL","Hoover, AL",391,0.015
1,35226,35896,AL,"Hoover city, AL","Hoover, AL",25648,0.985
1,35228,7000,AL,"Birmingham city, AL","Midfield, AL",4996,1
1,35233,7000,AL,"Birmingham city, AL","Birmingham, AL",1308,1
1,35234,7000,AL,"Birmingham city, AL","Birmingham, AL",6311,1
1,35235,7000,AL,"Birmingham city, AL","Birmingham, AL",8128,1
1,35242,7000,AL,"Birmingham city, AL","Hoover, AL",2126,0.159
1,35242,35896,AL,"Hoover city, AL","Hoover, AL",11269,0.841
1,35243,7000,AL,"Birmingham city, AL","Vestavia Hills, AL",1270,1
1,35244,35896,AL,"Hoover city, AL","Hoover, AL",27733,1
1,35254,7000,AL,"Birmingham city, AL","Birmingham, AL",1403,1
1,35401,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",38240,1
1,35404,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",16257,1
1,35405,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",23013,1
1,35406,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",11881,1
1,35453,77256,AL,"Tuscaloosa city, AL","Cottondale, AL",892,1
1,35473,77256,AL,"Tuscaloosa city, AL","Northport, AL",130,1
1,35475,77256,AL,"Tuscaloosa city, AL","Northport, AL",47,1
1,35476,77256,AL,"Tuscaloosa city, AL","Northport, AL",2,1
1,35490,77256,AL,"Tuscaloosa city, AL","Vance, AL",6,1
1,35601,20104,AL,"Decatur city, AL","Decatur, AL",32479,1
1,35603,20104,AL,"Decatur city, AL","Decatur, AL",22974,1
1,35613,37000,AL,"Huntsville city, AL","Athens, AL",65,1
1,35630,26896,AL,"Florence city, AL","Florence, AL",32070,1
1,35633,26896,AL,"Florence city, AL","Florence, AL",5973,1
1,35634,26896,AL,"Florence city, AL","Florence, AL",1276,1
1,35640,20104,AL,"Decatur city, AL","Hartselle, AL",135,1
1,35646,53016,AL,"Muscle Shoals city, AL","Leighton, AL",9,1
1,35660,53016,AL,"Muscle Shoals city, AL","Sheffield, AL",3,1
1,35661,53016,AL,"Muscle Shoals city, AL","Muscle Shoals, AL",12747,1
1,35671,20104,AL,"Decatur city, AL","Tanner, AL",84,0.933
1,35671,37000,AL,"Huntsville city, AL","Tanner, AL",6,0.067
1,35673,20104,AL,"Decatur city, AL","Trinity, AL",11,1
1,35674,53016,AL,"Muscle Shoals city, AL","Tuscumbia, AL",387,1
1,35741,37000,AL,"Huntsville city, AL","Huntsville, AL",1628,1
1,35748,37000,AL,"Huntsville city, AL","Gurley, AL",124,1
1,35749,37000,AL,"Huntsville city, AL","Harvest, AL",679,1
1,35756,37000,AL,"Huntsville city, AL","Madison, AL",1077,1
1,35757,37000,AL,"Huntsville city, AL","Madison, AL",2853,1
1,35758,37000,AL,"Huntsville city, AL","Madison, AL",1970,1
1,35759,37000,AL,"Huntsville city, AL","Meridianville, AL",99,1
1,35763,37000,AL,"Huntsville city, AL","Huntsville, AL",10511,1
1,35773,37000,AL,"Huntsville city, AL","Toney, AL",109,1
1,35801,37000,AL,"Huntsville city, AL","Huntsville, AL",21508,1
1,35802,37000,AL,"Huntsville city, AL","Huntsville, AL",21291,1
1,35803,37000,AL,"Huntsville city, AL","Huntsville, AL",24796,1
1,35805,37000,AL,"Huntsville city, AL","Huntsville, AL",22498,1
1,35806,37000,AL,"Huntsville city, AL","Huntsville, AL",10646,1
1,35810,37000,AL,"Huntsville city, AL","Huntsville, AL",28943,1
1,35811,37000,AL,"Huntsville city, AL","Huntsville, AL",9422,1
1,35816,37000,AL,"Huntsville city, AL","Huntsville, AL",15228,1
1,35824,37000,AL,"Huntsville city, AL","Huntsville, AL",6016,1
1,35896,37000,AL,"Huntsville city, AL","Huntsville, AL",636,1
1,35901,28696,AL,"Gadsden city, AL","Gadsden, AL",14924,1
1,35903,28696,AL,"Gadsden city, AL","Gadsden, AL",10264,1
1,35904,28696,AL,"Gadsden city, AL","Gadsden, AL",11590,1
